대지위치,착공예정일,실착공일,사용승인일,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정용면적(㎡),용적률(%),주용도,기타용도,위도,경도,labels
경기도 광명시 노온사동 44,20060803.0,20060803.0,20061129.0,1480.0,499.5,33.75,499.5,499.5,33.75,동물및식물관련시설,축사(퇴비사),37.4569095,126.856213,동물및식물관련시설
경기도 광명시 노온사동 778-6,20060804.0,20060804.0,20061220.0,334.0,198.15,59.33,198.15,198.15,59.33,제2종근린생활시설,제조업소,37.4313332,126.8515923,제2종근린생활시설
경기도 광명시 광명동 346-48,20060804.0,20060804.0,20070509.0,330.0,218.8,66.3,1450.56,1239.45,375.59,제1종근린생활시설,,37.4731326,126.8511552,제1종근린생활시설
경기도 광명시 노온사동 152-9,20060811.0,20060811.0,20061123.0,330.0,196.56,59.56,231.12,231.12,70.04,단독주택,,37.4524794,126.84826,단독주택
경기도 광명시 노온사동 152-9,20060824.0,20060823.0,20061123.0,329.0,184.73,56.15,296.06,296.06,89.99,단독주택,,37.4524794,126.84826,단독주택
경기도 광명시 노온사동 574-5,20060830.0,20060830.0,20061019.0,488.0,199.1,40.8,199.1,199.1,40.8,제2종근린생활시설,제조업소,37.4367724,126.8444145,제2종근린생활시설
경기도 광명시 노온사동 574-5,20060830.0,20060830.0,20061019.0,333.0,199.1,59.79,199.1,199.1,59.79,제2종근린생활시설,제조업소,37.4367724,126.8444145,제2종근린생활시설
경기도 광명시 광명동 12-139,20060901.0,20060831.0,20070103.0,235.4,141.0,59.9,269.0,269.0,114.27,제2종근린생활시설,소매점/사무실,37.4858131,126.8595128,제2종근린생활시설
경기도 광명시 광명동 149-2,20060913.0,20060913.0,20070621.0,189.1,126.8,67.05,1598.91,1505.57,796.18,제2종근린생활시설,,37.4784485,126.8584841,제2종근린생활시설
경기도 광명시 광명동 42-64,20060915.0,20060915.0,20061228.0,205.0,114.82,56.01,359.75,359.75,175.49,공동주택,다세대주택,37.4736789,126.8581844,공동주택
경기도 광명시 철산동 150,20060919.0,,20071009.0,691.3,406.96,58.87,2042.84,1086.64,157.19,노유자시설,사회복지시설,37.4848747,126.8647364,노유자시설
경기도 광명시 옥길동 61-10,20060921.0,20060921.0,20080526.0,330.0,197.4,59.82,329.32,329.32,99.79,제2종근린생활시설,제1종근린생활시설,37.4711869,126.8405282,제2종근린생활시설
경기도 광명시 광명동 578,20060925.0,20060922.0,20070212.0,386.0,159.03,41.2,298.11,298.11,77.23,단독주택,근린생활시설(제조업소),37.462979,126.8534006,단독주택
경기도 광명시 노온사동 577-75,20060926.0,20060926.0,20070119.0,327.0,195.0,59.63,195.0,195.0,59.63,단독주택,,37.4344051,126.8462027,단독주택
경기도 광명시 가학동 336-5,20061010.0,20061010.0,20061227.0,526.0,158.94,30.22,199.14,199.14,37.86,제2종근린생활시설,단독주택,37.4220567,126.8567533,제2종근린생활시설
경기도 광명시 광명동 334-27,20061016.0,20061011.0,20070109.0,165.0,97.75,59.24,282.58,282.58,171.26,교육연구시설,유치원,37.473147,126.8533388,교육연구시설
경기도 광명시 노온사동 159-2,20061012.0,20061012.0,20070312.0,330.0,197.85,59.95,197.85,197.85,59.95,단독주택,,37.4515641,126.8500737,단독주택
경기도 광명시 노온사동 159-1,20061012.0,20061012.0,20070619.0,330.0,197.2,59.76,197.2,197.2,59.76,단독주택,,37.45150880000001,126.8503198,단독주택
경기도 광명시 철산동 463-38,20061013.0,20061012.0,20081120.0,895.4,360.19,40.23,4008.45,2145.27,239.59,공동주택,"아파트,업무,판매시설",37.4783538,126.8635462,"공동주택,아파트,대규모"
